微博id,微博正文/转发理由,是否原创
J1JsH6NZ0,#朋友请听好#“湖南地方代表队”上线🤗朋友请听好第10期：千玺李俊濠变湖南代表队！ 谢娜被张颜齐猜崩溃？  [组图共3张] 原图 ,True
J1axn9v32,#相信未来义演# “乐”抚人心，希望这首《南屏晚钟》能给大家带来温暖。 TFBOYS-易烊千玺的微博视频  ,True
J0EKPioaW,#朋友请听好# “在水一方器乐团”直播首秀朋友请听好第9期：“在水一方乐器团”限定营业 何炅假期过后考虑退休？  [组图共4张] 原图 ,True
J0tVnqd5A,转发理由:#因为热爱，尽善而行# 和麦当劳一起，遇见更多美好。  ,False
J0oMQcPVn,#奋斗吧青春# 《奋斗的青春最美丽——2020年五·四青年节特别节目》，今晚在CCTV1、CCTV3播出，一起奋斗一起追梦！  [组图共2张] 原图 ,True
J0keOdHEi,转发理由:#五四致敬战疫青年# 致敬战疫青年，致敬最可爱的人！#谢谢你保护了我们#//@TFBOYS组合:#五四致敬战疫青年#五四青年节到来，让我们说一声，#谢谢你保护了我们#  ,False
IFyuniWZ0,#朋友请听好# 一起来听小站音乐会 朋友请听好第8期：千玺又被谢娜套路要跳拉丁？ 杨迪沉浸式读信扮演蟑螂笑Skr人  [组图共4张] 原图 ,True
IEH5zxf1L,今晚十点，湖南卫视#朋友请听好#，一起来听广播剧。  [组图共2张] 原图 ,True
IEGAgq2eU,#华为nova7#系列新品发布会对焦ing @华为终端官方微博 的一直播  [组图共2张] 原图 ,True
IEyyFiGxr,问题和烦恼，让书籍给你答案。#423听书节# 来@喜马拉雅  #有声图书馆#，寻找更多未知的答案。  原图 ,True
IDIgZ3EB7,定义意式优雅，致敬传奇经典。#阿玛尼美妆20周年#，尽在5月14日，#天猫超级品牌日# 阿玛尼的微博视频  ,True
IDAW6nFrE,你好，#华为nova7#系列。nova7号电台等你来电 @华为终端官方微博 TFBOYS-易烊千玺的微博视频  ,True
IDztOzhIe,转发理由:和学长在广播小屋相聚了，谢谢何老师  ,False
IDtcMcicK,😆  ,True
微博id,微博正文/转发理由,是否原创
I9Va8w9Ab,[置顶]补作业 7000W请查收 TFBOYS-易烊千玺的微博视频  ,True
J5Fx4aSdp,好久不见，哥@胡歌 ，一起去看场电影？ #LongTimeNoSee# FIRST青年电影展的秒拍视频  ,True
J5dhzs7rm,今晚八点，@阿玛尼 星品线上发布会，不见不散。  原图 ,True
J4TDnCTGL,转发理由:坚持自我主张，展现自信态度，和我一起成为#无可T代#的自己。@TiffanyAndCo蒂芙尼  ,False
J3RLPvOlZ,谢谢倾听和陪伴，今日收官，我们不说告别。#朋友请听好#  [组图共4张] 原图 ,True
J2k3RgU82,转发理由:今晚七点，@可爱多 线上发布会见。#吃在一起 可爱多了#  ,False
J1UlTqZwI,转发理由:小彤哥新剧明天开播，看起来  ,False
J1JsH6NZ0,#朋友请听好#“湖南地方代表队”上线🤗朋友请听好第10期：千玺李俊濠变湖南代表队！ 谢娜被张颜齐猜崩溃？  [组图共3张] 原图 ,True
J1axn9v32,#相信未来义演# “乐”抚人心，希望这首《南屏晚钟》能给大家带来温暖。 TFBOYS-易烊千玺的微博视频  ,True
J0EKPioaW,#朋友请听好# “在水一方器乐团”直播首秀朋友请听好第9期：“在水一方乐器团”限定营业 何炅假期过后考虑退休？  [组图共4张] 原图 ,True
J0tVnqd5A,转发理由:#因为热爱，尽善而行# 和麦当劳一起，遇见更多美好。  ,False
微博id,微博正文/转发理由,是否原创
I9Va8w9Ab,[置顶]补作业 7000W请查收 TFBOYS-易烊千玺的微博视频  ,True
J5Fx4aSdp,好久不见，哥@胡歌 ，一起去看场电影？ #LongTimeNoSee# FIRST青年电影展的秒拍视频  ,True
J5dhzs7rm,今晚八点，@阿玛尼 星品线上发布会，不见不散。  原图 ,True
J4TDnCTGL,转发理由:坚持自我主张，展现自信态度，和我一起成为#无可T代#的自己。@TiffanyAndCo蒂芙尼  ,False
J3RLPvOlZ,谢谢倾听和陪伴，今日收官，我们不说告别。#朋友请听好#  [组图共4张] 原图 ,True
J2k3RgU82,转发理由:今晚七点，@可爱多 线上发布会见。#吃在一起 可爱多了#  ,False
J1UlTqZwI,转发理由:小彤哥新剧明天开播，看起来  ,False
J1JsH6NZ0,#朋友请听好#“湖南地方代表队”上线🤗朋友请听好第10期：千玺李俊濠变湖南代表队！ 谢娜被张颜齐猜崩溃？  [组图共3张] 原图 ,True
J1axn9v32,#相信未来义演# “乐”抚人心，希望这首《南屏晚钟》能给大家带来温暖。 TFBOYS-易烊千玺的微博视频  ,True
J0EKPioaW,#朋友请听好# “在水一方器乐团”直播首秀朋友请听好第9期：“在水一方乐器团”限定营业 何炅假期过后考虑退休？  [组图共4张] 原图 ,True
J0tVnqd5A,转发理由:#因为热爱，尽善而行# 和麦当劳一起，遇见更多美好。  ,False
J0oMQcPVn,#奋斗吧青春# 《奋斗的青春最美丽——2020年五·四青年节特别节目》，今晚在CCTV1、CCTV3播出，一起奋斗一起追梦！  [组图共2张] 原图 ,True
J0keOdHEi,转发理由:#五四致敬战疫青年# 致敬战疫青年，致敬最可爱的人！#谢谢你保护了我们#//@TFBOYS组合:#五四致敬战疫青年#五四青年节到来，让我们说一声，#谢谢你保护了我们#  ,False
IFyuniWZ0,#朋友请听好# 一起来听小站音乐会 朋友请听好第8期：千玺又被谢娜套路要跳拉丁？ 杨迪沉浸式读信扮演蟑螂笑Skr人  [组图共4张] 原图 ,True
IEH5zxf1L,今晚十点，湖南卫视#朋友请听好#，一起来听广播剧。  [组图共2张] 原图 ,True
IEGAgq2eU,#华为nova7#系列新品发布会对焦ing @华为终端官方微博 的一直播  [组图共2张] 原图 ,True
IEyyFiGxr,问题和烦恼，让书籍给你答案。#423听书节# 来@喜马拉雅  #有声图书馆#，寻找更多未知的答案。  原图 ,True
IDIgZ3EB7,定义意式优雅，致敬传奇经典。#阿玛尼美妆20周年#，尽在5月14日，#天猫超级品牌日# 阿玛尼的微博视频  ,True
IDAW6nFrE,你好，#华为nova7#系列。nova7号电台等你来电 @华为终端官方微博 TFBOYS-易烊千玺的微博视频  ,True
IDztOzhIe,转发理由:和学长在广播小屋相聚了，谢谢何老师  ,False
IDtcMcicK,😆  ,True
